Product Id,Product Handle,Product Title,Product Subtitle,Product Status,Product External Id,Product Description,Product Is Giftcard,Product Discountable,Product Thumbnail,Product Collection Id,Product Type Id,Product Weight,Product Length,Product Height,Product Width,Product Hs Code,Product Origin Country,Product Mid Code,Product Material,Product Created At,Product Updated At,Product Deleted At,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Sales Channel 1,Variant Id,Variant Title,Variant Sku,Variant Barcode,Variant Ean,Variant Upc,Variant Allow Backorder,Variant Manage Inventory,Variant Hs Code,Variant Origin Country,Variant Mid Code,Variant Material,Variant Weight,Variant Length,Variant Height,Variant Width,Variant Metadata,Variant Variant Rank,Variant Thumbnail,Variant Product Id,Variant Created At,Variant Updated At,Variant Deleted At,Variant Price USD,Variant Price EUR,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value
prod_01KP9ZSCEG8M27AMM5F33JJ91N,t-shirt,Medusa T-Shirt Test,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 22:05:53 GMT-0700 (Pacific Daylight Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KP9ZS8QFP0KABX615R1DDSDR,variant_01KP9ZSCG350EP01AEMDBBDN6S,S / Black,SHIRT-S-BLACK,,,,false,true,,,,,,,,,,0,,prod_01KP9ZSCEG8M27AMM5F33JJ91N,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),,15,10,Size,S,Color,Black
prod_01KP9ZSCEG8M27AMM5F33JJ91N,t-shirt,Medusa T-Shirt Test,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 22:05:53 GMT-0700 (Pacific Daylight Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KP9ZS8QFP0KABX615R1DDSDR,variant_01KP9ZSCG3E55C1K8GQG1K617Y,M / White,SHIRT-M-WHITE,,,,false,true,,,,,,,,,,0,,prod_01KP9ZSCEG8M27AMM5F33JJ91N,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),,15,10,Size,M,Color,White
prod_01KP9ZSCEG8M27AMM5F33JJ91N,t-shirt,Medusa T-Shirt Test,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 22:05:53 GMT-0700 (Pacific Daylight Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KP9ZS8QFP0KABX615R1DDSDR,variant_01KP9ZSCG3TE60P6CQEPT9EJVR,S / White,SHIRT-S-WHITE,,,,false,true,,,,,,,,,,0,,prod_01KP9ZSCEG8M27AMM5F33JJ91N,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),,15,10,Size,S,Color,White
prod_01KP9ZSCEG8M27AMM5F33JJ91N,t-shirt,Medusa T-Shirt Test,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 22:05:53 GMT-0700 (Pacific Daylight Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KP9ZS8QFP0KABX615R1DDSDR,variant_01KP9ZSCG3ZRQ39XRVNQ1607R7,M / Black,SHIRT-M-BLACK,,,,false,true,,,,,,,,,,0,,prod_01KP9ZSCEG8M27AMM5F33JJ91N,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),,15,10,Size,M,Color,Black
prod_01KP9ZSCEG8M27AMM5F33JJ91N,t-shirt,Medusa T-Shirt Test,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 22:05:53 GMT-0700 (Pacific Daylight Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KP9ZS8QFP0KABX615R1DDSDR,variant_01KP9ZSCG42WND312F3DP760WQ,XL / Black,SHIRT-XL-BLACK,,,,false,true,,,,,,,,,,0,,prod_01KP9ZSCEG8M27AMM5F33JJ91N,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),,15,10,Size,XL,Color,Black
prod_01KP9ZSCEG8M27AMM5F33JJ91N,t-shirt,Medusa T-Shirt Test,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 22:05:53 GMT-0700 (Pacific Daylight Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KP9ZS8QFP0KABX615R1DDSDR,variant_01KP9ZSCG4HTV1D83F1KHRMQQ7,L / White,SHIRT-L-WHITE,,,,false,true,,,,,,,,,,0,,prod_01KP9ZSCEG8M27AMM5F33JJ91N,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),,15,10,Size,L,Color,White
prod_01KP9ZSCEG8M27AMM5F33JJ91N,t-shirt,Medusa T-Shirt Test,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 22:05:53 GMT-0700 (Pacific Daylight Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KP9ZS8QFP0KABX615R1DDSDR,variant_01KP9ZSCG4QG4J8T8KBBCQQQKR,L / Black,SHIRT-L-BLACK,,,,false,true,,,,,,,,,,0,,prod_01KP9ZSCEG8M27AMM5F33JJ91N,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),,15,10,Size,L,Color,Black
prod_01KP9ZSCEG8M27AMM5F33JJ91N,t-shirt,Medusa T-Shirt Test,,published,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,400,,,,,,,,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 22:05:53 GMT-0700 (Pacific Daylight Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,sc_01KP9ZS8QFP0KABX615R1DDSDR,variant_01KP9ZSCG4TQH4WYSJ3YXR18JB,XL / White,SHIRT-XL-WHITE,,,,false,true,,,,,,,,,,0,,prod_01KP9ZSCEG8M27AMM5F33JJ91N,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),,15,10,Size,XL,Color,White
prod_01KP9ZSCEG9F904CSM3985C2HD,sweatpants,Medusa Sweatpants,,published,,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,400,,,,,,,,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,sc_01KP9ZS8QFP0KABX615R1DDSDR,variant_01KP9ZSCG48R26H9V95GND9JSN,XL,SWEATPANTS-XL,,,,false,true,,,,,,,,,,0,,prod_01KP9ZSCEG9F904CSM3985C2HD,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),,15,10,Size,XL,,
prod_01KP9ZSCEG9F904CSM3985C2HD,sweatpants,Medusa Sweatpants,,published,,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,400,,,,,,,,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,sc_01KP9ZS8QFP0KABX615R1DDSDR,variant_01KP9ZSCG4K2HNFADV90WBXW2N,L,SWEATPANTS-L,,,,false,true,,,,,,,,,,0,,prod_01KP9ZSCEG9F904CSM3985C2HD,Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),Wed Apr 15 2026 18:51:44 GMT-0700 (Pacific Daylight Time),,15,10,Size,L,,
